match_id,blue_1_name,blue_1_role,blue_2_name,blue_2_role,blue_3_name,blue_3_role,blue_4_name,blue_4_role,blue_5_name,blue_5_role,red_1_name,red_1_role,red_2_name,red_2_role,red_3_name,red_3_role,red_4_name,red_4_role,red_5_name,red_5_role,label
KR_7638472471,Annie,Burst,Ekko,Burst,Poppy,CC Tank,Sylas,Bruiser AP,Kalista,DPS Marksman,Hwei,Poke,Zed,Assassin AD,Yone,Bruiser AD,Swain,Sustain Mage,Rakan,Utility Support,1
KR_7634901672,Soraka,Utility Support,Zed,Assassin AD,Pyke,Assassin AD,Sivir,DPS Marksman,Blitzcrank,CC Tank,Alistar,CC Tank,Lux,Poke,Gragas,Sustain Mage,Syndra,Burst,Ziggs,Poke,1
KR_7638311743,Teemo,Poke,Ahri,Burst,Yasuo,Bruiser AD,Renekton,Bruiser AD,Orianna,Burst,Nocturne,Assassin AD,Alistar,CC Tank,Shen,Sustain Tank,Thresh,Utility Support,Gangplank,Poke,0
KR_7637887170,Lulu,Utility Support,Lissandra,Burst,Twitch,DPS Marksman,Thresh,Utility Support,Tristana,DPS Marksman,Samira,DPS Marksman,Seraphine,Utility Support,Caitlyn,Poke,Warwick,Bruiser AD,Xerath,Poke,0
KR_7635947920,Evelynn,Burst,Morgana,Poke,Nidalee,Poke,Xayah,DPS Marksman,Nautilus,CC Tank,Alistar,CC Tank,Vex,Burst,Sett,Bruiser AD,Ashe,Poke,Qiyana,Assassin AD,1
KR_7635915958,Jax,Bruiser AD,Caitlyn,Poke,Malzahar,Poke,Lux,Poke,Morgana,Poke,Jayce,Poke,Sylas,Bruiser AP,Teemo,Poke,Nilah,DPS Marksman,Yone,Bruiser AD,1
KR_7635851542,Blitzcrank,CC Tank,Orianna,Burst,Zed,Assassin AD,Varus,Poke,Ashe,Poke,Ezreal,Poke,Shen,Sustain Tank,Neeko,Burst,Smolder,Poke,Sylas,Bruiser AP,0
KR_7635748623,Neeko,Burst,Senna,DPS Marksman,Kayle,Bruiser AD,Zilean,Utility Support,Teemo,Poke,Ryze,Bruiser AD,Akali,Burst,Hwei,Poke,Xayah,DPS Marksman,Varus,Poke,0
KR_7636922059,Hwei,Poke,Nautilus,CC Tank,Blitzcrank,CC Tank,Pyke,Assassin AD,Vi,Bruiser AD,Trundle,Bruiser AD,Jhin,Poke,Zyra,Poke,Leona,CC Tank,Ashe,Poke,0
KR_7631485079,Amumu,CC Tank,Smolder,Poke,Karma,Utility Support,Darius,Bruiser AD,Syndra,Burst,Orianna,Burst,Jayce,Poke,Xerath,Poke,Shyvana,Bruiser AD,Fizz,Burst,1
KR_7625012390,Graves,Poke,Katarina,Burst,Renekton,Bruiser AD,Quinn,Poke,Akshan,Assassin AD,Aurora,Poke,Nami,Utility Support,Yone,Bruiser AD,Urgot,Bruiser AD,Viktor,Poke,0
KR_7594383626,Maokai,CC Tank,Zyra,Poke,Aatrox,Bruiser AD,Zeri,DPS Marksman,Talon,Assassin AD,Swain,Sustain Mage,Syndra,Burst,Trundle,Bruiser AD,Riven,Bruiser AD,Ezreal,Poke,0
KR_7636723412,Kindred,DPS Marksman,Caitlyn,Poke,Yasuo,Bruiser AD,Ornn,Sustain Tank,Smolder,Poke,Sett,Bruiser AD,Jinx,DPS Marksman,Fiora,Bruiser AD,Soraka,Utility Support,Ziggs,Poke,1
KR_7635262127,Tristana,DPS Marksman,Irelia,Bruiser AD,Ezreal,Poke,Xayah,DPS Marksman,Evelynn,Burst,Caitlyn,Poke,Morgana,Poke,Kayle,Bruiser AD,Kennen,Burst,Singed,Sustain Tank,1
KR_7619855346,Pyke,Assassin AD,Jinx,DPS Marksman,Caitlyn,Poke,Karthus,Burst,Tryndamere,Bruiser AD,Cassiopeia,Sustain Mage,Samira,DPS Marksman,Lulu,Utility Support,Xayah,DPS Marksman,Malzahar,Poke,1
KR_7618477723,Kayle,Bruiser AD,Graves,Poke,Nami,Utility Support,Tristana,DPS Marksman,Malzahar,Poke,Sylas,Bruiser AP,Poppy,CC Tank,Corki,Poke,Blitzcrank,CC Tank,Senna,DPS Marksman,0
KR_7454063583,Poppy,CC Tank,Tristana,DPS Marksman,Viktor,Poke,Viego,Bruiser AD,Lux,Poke,Thresh,Utility Support,Galio,CC Tank,Twitch,DPS Marksman,Smolder,Poke,Seraphine,Utility Support,1
KR_7639304865,Syndra,Burst,Ahri,Burst,Twitch,DPS Marksman,Xerath,Poke,Talon,Assassin AD,Blitzcrank,CC Tank,Vex,Burst,Irelia,Bruiser AD,Graves,Poke,Shyvana,Bruiser AD,1
KR_7638938223,Smolder,Poke,Poppy,CC Tank,Zoe,Poke,Diana,Burst,Talon,Assassin AD,Malphite,Sustain Tank,Ekko,Burst,Nidalee,Poke,Soraka,Utility Support,Twitch,DPS Marksman,0
KR_7638475162,Ryze,Bruiser AD,Maokai,CC Tank,Jhin,Poke,Ekko,Burst,Seraphine,Utility Support,Ambessa,Bruiser AD,Sivir,DPS Marksman,Lillia,Sustain Mage,Nidalee,Poke,Janna,Utility Support,1
KR_7638420408,Caitlyn,Poke,Yone,Bruiser AD,Galio,CC Tank,Aurora,Poke,Rakan,Utility Support,Syndra,Burst,Varus,Poke,Ryze,Bruiser AD,Rumble,Sustain Mage,Diana,Burst,1
KR_7453963991,Karthus,Burst,Lillia,Sustain Mage,Sona,Utility Support,Urgot,Bruiser AD,Sivir,DPS Marksman,Hwei,Poke,Janna,Utility Support,Skarner,CC Tank,Jhin,Poke,Kindred,DPS Marksman,0
KR_7426041541,Akali,Burst,Nidalee,Poke,Ambessa,Bruiser AD,Xayah,DPS Marksman,Ziggs,Poke,Taliyah,Poke,Ryze,Bruiser AD,Ashe,Poke,Yasuo,Bruiser AD,Twitch,DPS Marksman,1
KR_7637024985,Yasuo,Bruiser AD,Yuumi,Utility Support,Gwen,Bruiser AP,Senna,DPS Marksman,Sejuani,CC Tank,Draven,DPS Marksman,Skarner,CC Tank,Sett,Bruiser AD,Janna,Utility Support,Rakan,Utility Support,0
KR_7637013796,Lux,Poke,Milio,Utility Support,Darius,Bruiser AD,Varus,Poke,Nautilus,CC Tank,Orianna,Burst,Olaf,Bruiser AD,Kennen,Burst,Diana,Burst,Katarina,Burst,0
KR_7636991297,Ivern,Utility Support,Rell,CC Tank,Smolder,Poke,Ashe,Poke,Lux,Poke,Jhin,Poke,Corki,Poke,Hwei,Poke,Orianna,Burst,Pantheon,Bruiser AD,0
KR_7632525288,Tristana,DPS Marksman,Zed,Assassin AD,Brand,Burst,Rammus,CC Tank,Lucian,DPS Marksman,Heimerdinger,Poke,Garen,Bruiser AD,Xerath,Poke,Caitlyn,Poke,Rakan,Utility Support,0
KR_7632005728,Trundle,Bruiser AD,Nidalee,Poke,Varus,Poke,Xayah,DPS Marksman,Poppy,CC Tank,Kindred,DPS Marksman,Jinx,DPS Marksman,Rumble,Sustain Mage,Zac,CC Tank,Lissandra,Burst,0
KR_7611131312,Tristana,DPS Marksman,Brand,Burst,Vex,Burst,Zilean,Utility Support,Vi,Bruiser AD,Shaco,Assassin AD,Ryze,Bruiser AD,Pyke,Assassin AD,Renekton,Bruiser AD,Veigar,Burst,1
KR_7611113186,Alistar,CC Tank,Akali,Burst,Ashe,Poke,Katarina,Burst,Rakan,Utility Support,Varus,Poke,Nautilus,CC Tank,Mordekaiser,Bruiser AP,Kindred,DPS Marksman,Nasus,Bruiser AD,0
KR_7636947164,Ezreal,Poke,Amumu,CC Tank,Yasuo,Bruiser AD,Gragas,Sustain Mage,Orianna,Burst,Kalista,DPS Marksman,Thresh,Utility Support,Samira,DPS Marksman,Shen,Sustain Tank,Maokai,CC Tank,0
KR_7631608375,Zed,Assassin AD,Amumu,CC Tank,Kindred,DPS Marksman,Milio,Utility Support,Veigar,Burst,Malphite,Sustain Tank,Hwei,Poke,Samira,DPS Marksman,Sett,Bruiser AD,Ambessa,Bruiser AD,0
KR_7631556757,Karma,Utility Support,Lucian,DPS Marksman,Blitzcrank,CC Tank,Xayah,DPS Marksman,Senna,DPS Marksman,Darius,Bruiser AD,Ryze,Bruiser AD,Amumu,CC Tank,Viego,Bruiser AD,Shen,Sustain Tank,0
KR_7633696773,Aatrox,Bruiser AD,Malzahar,Poke,Lissandra,Burst,Thresh,Utility Support,Xerath,Poke,Nidalee,Poke,Nautilus,CC Tank,Ziggs,Poke,Vayne,DPS Marksman,Taliyah,Poke,1
KR_7636834187,Maokai,CC Tank,Pantheon,Bruiser AD,Caitlyn,Poke,Garen,Bruiser AD,Heimerdinger,Poke,Jhin,Poke,Yone,Bruiser AD,Lucian,DPS Marksman,Diana,Burst,Ryze,Bruiser AD,1
KR_7636810639,Jinx,DPS Marksman,Galio,CC Tank,Twitch,DPS Marksman,Varus,Poke,Akali,Burst,Caitlyn,Poke,Vladimir,Sustain Mage,Sona,Utility Support,Braum,CC Tank,Lux,Poke,0
KR_7636626591,Sion,Sustain Tank,Aurora,Poke,Illaoi,Bruiser AD,Orianna,Burst,Neeko,Burst,Akshan,Assassin AD,Zyra,Poke,Heimerdinger,Poke,Nautilus,CC Tank,Caitlyn,Poke,0
KR_7623430784,Graves,Poke,Veigar,Burst,Draven,DPS Marksman,Morgana,Poke,Singed,Sustain Tank,Twitch,DPS Marksman,Trundle,Bruiser AD,Ahri,Burst,Caitlyn,Poke,Samira,DPS Marksman,1
KR_7623430094,Karma,Utility Support,Syndra,Burst,Sion,Sustain Tank,Kalista,DPS Marksman,Riven,Bruiser AD,Yuumi,Utility Support,Braum,CC Tank,Leona,CC Tank,Lux,Poke,Tryndamere,Bruiser AD,1
KR_7636751373,Amumu,CC Tank,Darius,Bruiser AD,Akali,Burst,Sona,Utility Support,Aatrox,Bruiser AD,Urgot,Bruiser AD,Veigar,Burst,Ahri,Burst,Nautilus,CC Tank,Thresh,Utility Support,1
KR_7635397879,Caitlyn,Poke,Veigar,Burst,Riven,Bruiser AD,Nami,Utility Support,Ahri,Burst,Ziggs,Poke,Rell,CC Tank,Quinn,Poke,Lulu,Utility Support,Ornn,Sustain Tank,1
KR_7631775282,Sylas,Bruiser AP,Soraka,Utility Support,Viego,Bruiser AD,Teemo,Poke,Draven,DPS Marksman,Janna,Utility Support,Morgana,Poke,Vayne,DPS Marksman,Xerath,Poke,Vi,Bruiser AD,0
KR_7630751086,Katarina,Burst,Tristana,DPS Marksman,Senna,DPS Marksman,Syndra,Burst,Leona,CC Tank,Seraphine,Utility Support,Smolder,Poke,Garen,Bruiser AD,Viego,Bruiser AD,Corki,Poke,0
KR_7635601442,Seraphine,Utility Support,Ziggs,Poke,Akshan,Assassin AD,Swain,Sustain Mage,Morgana,Poke,Sona,Utility Support,Jinx,DPS Marksman,Fizz,Burst,Darius,Bruiser AD,Trundle,Bruiser AD,1
KR_7638732788,Leona,CC Tank,Zeri,DPS Marksman,Varus,Poke,Pyke,Assassin AD,Katarina,Burst,Heimerdinger,Poke,Kennen,Burst,Urgot,Bruiser AD,Aatrox,Bruiser AD,Karthus,Burst,1
KR_7637345969,Seraphine,Utility Support,Zed,Assassin AD,Jayce,Poke,Camille,Bruiser AD,Neeko,Burst,Jinx,DPS Marksman,Gangplank,Poke,Ekko,Burst,Zeri,DPS Marksman,Morgana,Poke,0
KR_7637280887,Aatrox,Bruiser AD,Neeko,Burst,Tristana,DPS Marksman,Karma,Utility Support,Sona,Utility Support,Renekton,Bruiser AD,Aurora,Poke,Anivia,Poke,Jayce,Poke,Sejuani,CC Tank,1
KR_7638354013,Annie,Burst,Irelia,Bruiser AD,Jayce,Poke,Leona,CC Tank,Aphelios,DPS Marksman,Jhin,Poke,Malphite,Sustain Tank,Varus,Poke,Thresh,Utility Support,Fizz,Burst,0
KR_7635102605,Jayce,Poke,Samira,DPS Marksman,Yone,Bruiser AD,Vex,Burst,Olaf,Bruiser AD,Vayne,DPS Marksman,Taliyah,Poke,Morgana,Poke,Irelia,Bruiser AD,Quinn,Poke,1
KR_7634726569,Nilah,DPS Marksman,Nautilus,CC Tank,Vayne,DPS Marksman,Karma,Utility Support,Cassiopeia,Sustain Mage,Rengar,Assassin AD,Rell,CC Tank,Viktor,Poke,Kalista,DPS Marksman,Rammus,CC Tank,0
KR_7629433642,Nami,Utility Support,Garen,Bruiser AD,Warwick,Bruiser AD,Tristana,DPS Marksman,Seraphine,Utility Support,Malphite,Sustain Tank,Jinx,DPS Marksman,Fiora,Bruiser AD,Brand,Burst,Corki,Poke,0
KR_7629303645,Senna,DPS Marksman,Ahri,Burst,Shaco,Assassin AD,Teemo,Poke,Braum,CC Tank,Nidalee,Poke,Pyke,Assassin AD,Anivia,Poke,Zed,Assassin AD,Quinn,Poke,0
KR_7628221200,Sion,Sustain Tank,Ashe,Poke,Jinx,DPS Marksman,Sivir,DPS Marksman,Swain,Sustain Mage,Ivern,Utility Support,Viego,Bruiser AD,Sett,Bruiser AD,Caitlyn,Poke,Renekton,Bruiser AD,0
KR_7630411662,Lillia,Sustain Mage,Twitch,DPS Marksman,Graves,Poke,Malzahar,Poke,Darius,Bruiser AD,Alistar,CC Tank,Ashe,Poke,Smolder,Poke,Sona,Utility Support,Ekko,Burst,0
KR_7630389761,Sejuani,CC Tank,Corki,Poke,Sivir,DPS Marksman,Darius,Bruiser AD,Ashe,Poke,Ornn,Sustain Tank,Garen,Bruiser AD,Pyke,Assassin AD,Viego,Bruiser AD,Aphelios,DPS Marksman,1
KR_7625679586,Mordekaiser,Bruiser AP,Skarner,CC Tank,Zoe,Poke,Thresh,Utility Support,Akshan,Assassin AD,Lulu,Utility Support,Kindred,DPS Marksman,Ziggs,Poke,Jayce,Poke,Naafiri,Assassin AD,0
KR_7605824237,Aurora,Poke,Ahri,Burst,Smolder,Poke,Katarina,Burst,Ryze,Bruiser AD,Lillia,Sustain Mage,Xerath,Poke,Viktor,Poke,Brand,Burst,Karthus,Burst,1
KR_7560999424,Kalista,DPS Marksman,Malphite,Sustain Tank,Milio,Utility Support,Amumu,CC Tank,Taliyah,Poke,Ekko,Burst,Ezreal,Poke,Rengar,Assassin AD,Anivia,Poke,Alistar,CC Tank,1
KR_7632303439,Nami,Utility Support,Yorick,Sustain Tank,Akshan,Assassin AD,Soraka,Utility Support,Viktor,Poke,Aatrox,Bruiser AD,Neeko,Burst,Ezreal,Poke,Smolder,Poke,Sona,Utility Support,1
KR_7636406748,Ashe,Poke,Galio,CC Tank,Leona,CC Tank,Xayah,DPS Marksman,Orianna,Burst,Nautilus,CC Tank,Irelia,Bruiser AD,Gragas,Sustain Mage,Zilean,Utility Support,Illaoi,Bruiser AD,1
KR_7636299339,Ekko,Burst,Blitzcrank,CC Tank,Neeko,Burst,Pyke,Assassin AD,Morgana,Poke,Katarina,Burst,Ashe,Poke,Zilean,Utility Support,Samira,DPS Marksman,Fizz,Burst,1
KR_7637419920,Brand,Burst,Thresh,Utility Support,Karthus,Burst,Jinx,DPS Marksman,Mordekaiser,Bruiser AP,Kassadin,Burst,Graves,Poke,Malzahar,Poke,Morgana,Poke,Kalista,DPS Marksman,1
KR_7635879282,Karthus,Burst,Akali,Burst,Swain,Sustain Mage,Thresh,Utility Support,Lucian,DPS Marksman,Vex,Burst,Samira,DPS Marksman,Kayn,Assassin AD,Ashe,Poke,Naafiri,Assassin AD,1
KR_7635848256,Zoe,Poke,Morgana,Poke,Thresh,Utility Support,Jax,Bruiser AD,Jhin,Poke,Kayle,Bruiser AD,Smolder,Poke,Tryndamere,Bruiser AD,Annie,Burst,Singed,Sustain Tank,0
KR_7631176270,Urgot,Bruiser AD,Taric,Utility Support,Jhin,Poke,Quinn,Poke,Neeko,Burst,Rammus,CC Tank,Zilean,Utility Support,Irelia,Bruiser AD,Vayne,DPS Marksman,Soraka,Utility Support,0
KR_7636275131,Ivern,Utility Support,Jayce,Poke,Jhin,Poke,Blitzcrank,CC Tank,Shen,Sustain Tank,Heimerdinger,Poke,Poppy,CC Tank,Lulu,Utility Support,Thresh,Utility Support,Trundle,Bruiser AD,0
KR_7626009611,Jinx,DPS Marksman,Yone,Bruiser AD,Fiora,Bruiser AD,Mordekaiser,Bruiser AP,Rammus,CC Tank,Aphelios,DPS Marksman,Nidalee,Poke,Braum,CC Tank,Viego,Bruiser AD,Swain,Sustain Mage,0
KR_7625948234,Jinx,DPS Marksman,Rengar,Assassin AD,Sion,Sustain Tank,Renekton,Bruiser AD,Malzahar,Poke,Mordekaiser,Bruiser AP,Garen,Bruiser AD,Syndra,Burst,Yuumi,Utility Support,Zeri,DPS Marksman,1
KR_7616327988,Ashe,Poke,Kindred,DPS Marksman,Hwei,Poke,Alistar,CC Tank,Pyke,Assassin AD,Zeri,DPS Marksman,Morgana,Poke,Thresh,Utility Support,Neeko,Burst,Urgot,Bruiser AD,1
KR_7616079839,Graves,Poke,Lulu,Utility Support,Singed,Sustain Tank,Xayah,DPS Marksman,Blitzcrank,CC Tank,Sivir,DPS Marksman,Yasuo,Bruiser AD,Neeko,Burst,Kassadin,Burst,Rakan,Utility Support,0
KR_7620522104,Karthus,Burst,Orianna,Burst,Ezreal,Poke,Malphite,Sustain Tank,Swain,Sustain Mage,Twitch,DPS Marksman,Syndra,Burst,Jax,Bruiser AD,Nidalee,Poke,Soraka,Utility Support,0
KR_7620506783,Pyke,Assassin AD,Corki,Poke,Qiyana,Assassin AD,Diana,Burst,Alistar,CC Tank,Ahri,Burst,Amumu,CC Tank,Aphelios,DPS Marksman,Jayce,Poke,Soraka,Utility Support,0
KR_7620439417,Viktor,Poke,Yasuo,Bruiser AD,Shyvana,Bruiser AD,Jinx,DPS Marksman,Darius,Bruiser AD,Aurora,Poke,Malzahar,Poke,Taliyah,Poke,Xayah,DPS Marksman,Amumu,CC Tank,1
KR_7595826406,Zed,Assassin AD,Camille,Bruiser AD,Sylas,Bruiser AP,Annie,Burst,Alistar,CC Tank,Senna,DPS Marksman,Ahri,Burst,Hwei,Poke,Xayah,DPS Marksman,Zilean,Utility Support,1
KR_7595662780,Sylas,Bruiser AP,Twitch,DPS Marksman,Nidalee,Poke,Pyke,Assassin AD,Vayne,DPS Marksman,Ezreal,Poke,Yuumi,Utility Support,Yasuo,Bruiser AD,Singed,Sustain Tank,Poppy,CC Tank,0
KR_7392369244,Ziggs,Poke,Viktor,Poke,Zed,Assassin AD,Pantheon,Bruiser AD,Lillia,Sustain Mage,Ornn,Sustain Tank,Ezreal,Poke,Janna,Utility Support,Hwei,Poke,Riven,Bruiser AD,1
KR_7374399654,Brand,Burst,Zeri,DPS Marksman,Poppy,CC Tank,Cassiopeia,Sustain Mage,Thresh,Utility Support,Kassadin,Burst,Jinx,DPS Marksman,Xerath,Poke,Karma,Utility Support,Graves,Poke,0
KR_7357158054,Graves,Poke,Pantheon,Bruiser AD,Caitlyn,Poke,Nautilus,CC Tank,Morgana,Poke,Ambessa,Bruiser AD,Jhin,Poke,Sylas,Bruiser AP,Malphite,Sustain Tank,Maokai,CC Tank,1
KR_7296338695,Vladimir,Sustain Mage,Lux,Poke,Soraka,Utility Support,Rell,CC Tank,Maokai,CC Tank,Ezreal,Poke,Akshan,Assassin AD,Jinx,DPS Marksman,Nasus,Bruiser AD,Pyke,Assassin AD,1
KR_7284705149,Veigar,Burst,Shaco,Assassin AD,Sona,Utility Support,Zoe,Poke,Kayn,Assassin AD,Trundle,Bruiser AD,Shyvana,Bruiser AD,Samira,DPS Marksman,Morgana,Poke,Vex,Burst,0
KR_7638022290,Yuumi,Utility Support,Vex,Burst,Jayce,Poke,Taliyah,Poke,Blitzcrank,CC Tank,Riven,Bruiser AD,Varus,Poke,Lulu,Utility Support,Vi,Bruiser AD,Ahri,Burst,0
KR_7637987247,Tristana,DPS Marksman,Thresh,Utility Support,Corki,Poke,Shaco,Assassin AD,Lucian,DPS Marksman,Xerath,Poke,Nidalee,Poke,Maokai,CC Tank,Swain,Sustain Mage,Ezreal,Poke,0
KR_7637186374,Kayle,Bruiser AD,Rammus,CC Tank,Shyvana,Bruiser AD,Malphite,Sustain Tank,Draven,DPS Marksman,Sejuani,CC Tank,Jhin,Poke,Diana,Burst,Soraka,Utility Support,Xerath,Poke,0
KR_7637148175,Ziggs,Poke,Akali,Burst,Tristana,DPS Marksman,Xayah,DPS Marksman,Senna,DPS Marksman,Fizz,Burst,Nocturne,Assassin AD,Yone,Bruiser AD,Soraka,Utility Support,Pantheon,Bruiser AD,0
KR_7637033391,Lux,Poke,Illaoi,Bruiser AD,Nautilus,CC Tank,Kalista,DPS Marksman,Neeko,Burst,Jinx,DPS Marksman,Rumble,Sustain Mage,Veigar,Burst,Zac,CC Tank,Blitzcrank,CC Tank,0
KR_7630205860,Rumble,Sustain Mage,Smolder,Poke,Jax,Bruiser AD,Blitzcrank,CC Tank,Jinx,DPS Marksman,Vladimir,Sustain Mage,Leona,CC Tank,Pyke,Assassin AD,Aatrox,Bruiser AD,Gragas,Sustain Mage,0
KR_7623503359,Mordekaiser,Bruiser AP,Malzahar,Poke,Vex,Burst,Nidalee,Poke,Kalista,DPS Marksman,Syndra,Burst,Sett,Bruiser AD,Varus,Poke,Neeko,Burst,Nautilus,CC Tank,0
KR_7635452833,Seraphine,Utility Support,Morgana,Poke,Lucian,DPS Marksman,Amumu,CC Tank,Ezreal,Poke,Tristana,DPS Marksman,Varus,Poke,Naafiri,Assassin AD,Ziggs,Poke,Zac,CC Tank,0
KR_7634925545,Renekton,Bruiser AD,Vex,Burst,Blitzcrank,CC Tank,Lucian,DPS Marksman,Gnar,Bruiser AD,Hwei,Poke,Ezreal,Poke,Neeko,Burst,Vayne,DPS Marksman,Shaco,Assassin AD,1
KR_7630542423,Graves,Poke,Varus,Poke,Galio,CC Tank,Morgana,Poke,Ziggs,Poke,Shaco,Assassin AD,Kassadin,Burst,Caitlyn,Poke,Sion,Sustain Tank,Jhin,Poke,0
KR_7630473340,Sejuani,CC Tank,Teemo,Poke,Nidalee,Poke,Anivia,Poke,Smolder,Poke,Rumble,Sustain Mage,Graves,Poke,Lucian,DPS Marksman,Gragas,Sustain Mage,Swain,Sustain Mage,1
KR_7634360486,Pantheon,Bruiser AD,Morgana,Poke,Leona,CC Tank,Zeri,DPS Marksman,Karma,Utility Support,Rell,CC Tank,Vayne,DPS Marksman,Soraka,Utility Support,Orianna,Burst,Anivia,Poke,1
KR_7635364611,Sett,Bruiser AD,Jayce,Poke,Smolder,Poke,Nautilus,CC Tank,Kennen,Burst,Pantheon,Bruiser AD,Aurora,Poke,Yasuo,Bruiser AD,Twitch,DPS Marksman,Pyke,Assassin AD,0
KR_7632073530,Gnar,Bruiser AD,Kassadin,Burst,Ezreal,Poke,Nidalee,Poke,Heimerdinger,Poke,Lillia,Sustain Mage,Zyra,Poke,Jayce,Poke,Warwick,Bruiser AD,Vex,Burst,1
KR_7639378250,Karma,Utility Support,Jinx,DPS Marksman,Renekton,Bruiser AD,Karthus,Burst,Zyra,Poke,Singed,Sustain Tank,Shen,Sustain Tank,Jhin,Poke,Garen,Bruiser AD,Veigar,Burst,1
KR_7639249040,Lulu,Utility Support,Veigar,Burst,Vi,Bruiser AD,Zyra,Poke,Swain,Sustain Mage,Nautilus,CC Tank,Maokai,CC Tank,Diana,Burst,Nocturne,Assassin AD,Malphite,Sustain Tank,1
KR_7627992331,Vayne,DPS Marksman,Azir,Poke,Syndra,Burst,Mordekaiser,Bruiser AP,Seraphine,Utility Support,Karthus,Burst,Senna,DPS Marksman,Ahri,Burst,Zac,CC Tank,Elise,Burst,1
KR_7627520725,Malzahar,Poke,Kindred,DPS Marksman,Nasus,Bruiser AD,Vi,Bruiser AD,Anivia,Poke,Brand,Burst,Viego,Bruiser AD,Lissandra,Burst,Yuumi,Utility Support,Smolder,Poke,0
KR_7638388279,Karma,Utility Support,Rell,CC Tank,Gangplank,Poke,Jayce,Poke,Azir,Poke,Brand,Burst,Morgana,Poke,Milio,Utility Support,Akali,Burst,Caitlyn,Poke,1
KR_7638830590,Ziggs,Poke,Nautilus,CC Tank,Singed,Sustain Tank,Xayah,DPS Marksman,Hwei,Poke,Nami,Utility Support,Jhin,Poke,Orianna,Burst,Ashe,Poke,Kayn,Assassin AD,0
KR_7638818561,Shyvana,Bruiser AD,Twitch,DPS Marksman,Darius,Bruiser AD,Jax,Bruiser AD,Taliyah,Poke,Graves,Poke,Malzahar,Poke,Lucian,DPS Marksman,Rengar,Assassin AD,Jhin,Poke,1
KR_7638790562,Fizz,Burst,Renekton,Bruiser AD,Lucian,DPS Marksman,Viktor,Poke,Azir,Poke,Orianna,Burst,Anivia,Poke,Zeri,DPS Marksman,Brand,Burst,Morgana,Poke,0
KR_7638711739,Mordekaiser,Bruiser AP,Jinx,DPS Marksman,Zed,Assassin AD,Jhin,Poke,Tristana,DPS Marksman,Rumble,Sustain Mage,Sona,Utility Support,Sylas,Bruiser AP,Lux,Poke,Alistar,CC Tank,0
KR_7638075471,Smolder,Poke,Veigar,Burst,Sion,Sustain Tank,Riven,Bruiser AD,Lissandra,Burst,Nami,Utility Support,Vayne,DPS Marksman,Ahri,Burst,Amumu,CC Tank,Kayle,Bruiser AD,0
